apiCollectionId,groupName,isActive,regex
111_111_201,Health Check APIs,true,^((https?):\/\/)?(www\.)?.*?(health|status|check|monitor|diagnose|heartbeat|ping|uptime|probe|test|validate|verification|assessment|condition|examine|inspection|metrics|surveillance|watchdog|observation|scanner|screening|validator|audit|benchmark|diagnostics|evaluation|analysis|loadtest|performance|reliability|stability|tracker|uptime-check|system-check|api-status|service-health|status-check|health-query|health-report|health-dashboard|system-status|health-indicator|vital-check|wellness|system-health|operation-check|function-check|health-monitor|live-status|health-assessment|health-metrics)(.*?)(\?.*|\/?|#.*?)?$
111_111_202,OAuth APIs,true,^((https?):\/\/)?(www\.)?.*?(oauth|authorize|access_token|refresh_token|client_id|redirect_uri|token_endpoint|auth_code|oauth2|openid|sso|single_sign_on|identity_provider|login|logout|signup|consent|permission|api_key|two_factor|2fa|auth_request|access_control|credentials|auth_flow|auth_service|oauth_provider|oauth_client|oauth_scope|oauth_grant)(.*?)(\?.*|\/?|#.*?)?$
111_111_203,User Authorization APIs,true,^((https?):\/\/)?(www\.)?.*?(authorize|authorization|access_control|permissions|roles|role_management|acl|access_policy|policy|access_rights|privileges|entitlements|scope|user_permissions|user_roles|role_assignment|access_management)(.*?)(\?.*|\/?|#.*?)?$
111_111_204,Payment APIs,true,^((https?):\/\/)?(www\.)?.*?(payment|payments|pay|transaction|transactions|invoice|billing|checkout|order|purchase|refund|charge|credit|debit|gateway|payment_gateway|processor|payment_processor|card|bank|banking|wallet|digital_wallet|merchant|escrow|fee|tax|vat|financial|finance|finance_api|money|currency|exchange|remittance|transfer)(.*?)(\?.*|\/?|#.*?)?$
111_111_205,Notification APIs,true,^((https?):\/\/)?(www\.)?.*?(notify|notification|notifications|alert|alerts|email|sms|push|message|messaging|broadcast|communication|notifier|notices|reminder|reminders|announcement|announcements|update|updates|event|events)(.*?)(\?.*|\/?|#.*?)?$
111_111_206,Search APIs,true,^((https?):\/\/)?(www\.)?.*?(search|find|query|lookup|browse|explore|discover|retrieve|fetch|scan|seek)(.*?)(\?.*|\/?|#.*?)?$
111_111_207,Monitoring APIs,true,^((https?):\/\/)?(www\.)?.*?(monitoring|track|tracking|downtime|availability|alert|alerts|log|logs|logging|observability|event|events|scan|screening|report|reporting)(.*?)(\?.*|\/?|#.*?)?$
111_111_208,Session Management APIs,true,^((https?):\/\/)?(www\.)?.*?(session|sessions|session_id|session_token|session_start|session_end|session_create|session_destroy|session_expire|session_timeout|session_renewal|session_refresh|session_data)(.*?)(\?.*|\/?|#.*?)?$
111_111_209,Backup and Restore APIs,true,^((https?):\/\/)?(www\.)?.*?(backup|restore|recovery|backup_service|restore_service|snapshot|snapshots|backup_job|restore_job|backup_data|restore_data|backup_file|restore_file|database_backup|database_restore|system_backup|system_restore)(.*?)(\?.*|\/?|#.*?)?$
111_111_210,Analytics and Reporting APIs,true,^((https?):\/\/)?(www\.)?.*?(analytics|report|reporting|metrics|stat|statistics|data|dashboard|visualization|insights|performance|kpi|key_performance_indicator|log|logs|logging|monitoring|tracking|event|events|summary|analysis)(.*?)(\?.*|\/?|#.*?)?$
111_111_211,Admin APIs,true,^((https?):\/\/)?(www\.)?.*?(admin|administrator|superuser|root|manage|control|config|settings|permissions|roles|system-settings|system-config)(.*?)(\?.*|\/?|#.*?)?$
111_111_212,Media APIs,true,^((https?):\/\/)?(www\.)?.*?(media|image|video|audio|file|upload|download|stream|playback|encode|decode|format|compression|media-library|gallery|album|thumbnail|resolution|quality)(.*?)(\?.*|\/?|#.*?)?$
111_111_213,Location APIs,true,^((https?):\/\/)?(www\.)?.*?(location|geolocation|gps|coordinate|map|address|place|city|state|country|region|zip|postal-code|route|navigation|distance|proximity|area|boundary)(.*?)(\?.*|\/?|#.*?)?$
111_111_214,User Management APIs,true,^((https?):\/\/)?(www\.)?.*?(user|account|profile|member|client|update-profile|delete-account|activate|deactivate|user-list|add-user|remove-user|user-management|identity|manage-accounts|user-settings|user-preferences|user-status|user-groups|user-profiles)(.*?)(\?.*|\/?|#.*?)?$
111_111_215,Checkout APIs,true,^((https?):\/\/)?(www\.)?.*?(cart|basket|add-to-cart|remove-from-cart|update-cart|view-cart|cart-summary|proceed-to-checkout|confirm-checkout|finalize-checkout|checkout-review|checkout-confirm|checkout-complete)(.*?)(\?.*|\/?|#.*?)?$
